"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1138","Elk","Guildersleeve","CWMU Antlerless","Any Legal Weapon","Female Only","20","20.0","12.0","60.0","2.4","3.7","2025","2026","harvest_2025.csv"
"EA1138","Elk","","","","","20","3.3","11.0","5.0","52.6","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1139","Elk","","","","","9","3.4","4.0","18.0","44.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1139","Elk","Hardscrabble","CWMU Antlerless","Any Legal Weapon","Female Only","9","9.0","2.0","22.2","4.1","3.2","2025","2026","harvest_2025.csv"
"EA1140","Elk","Heaston East","CWMU Antlerless","Any Legal Weapon","Female Only","24","24.0","24.0","100.0","1.3","5.0","2025","2026","harvest_2025.csv"
"EA1141","Elk","Hiawatha","CWMU Antlerless","Any Legal Weapon","Female Only","16","12.0","7.0","58.3","3.0","4.8","2025","2026","harvest_2025.csv"
"EA1141","Elk","","","","","13","3.1","9.0","17.0","71.4","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1142","Elk","Indian Head","CWMU Antlerless","Any Legal Weapon","Female Only","12","12.0","10.0","83.3","3.2","4.7","2025","2026","harvest_2025.csv"
"EA1143","Elk","Circle E Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","35","35.0","34.0","97.1","2.0","4.8","2025","2026","harvest_2025.csv"
"EA1145","Elk","Johnson Mountain Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","21","21.0","17.0","81.0","1.7","4.1","2025","2026","harvest_2025.csv"
"EA1146","Elk","Jump Creek","CWMU Antlerless","Any Legal Weapon","Female Only","13","13.0","12.0","92.3","2.7","4.8","2025","2026","harvest_2025.csv"
"EA1146","Elk","","","","","12","3.3","4.0","17.0","33.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1147","Elk","Little Red Creek","CWMU Antlerless","Any Legal Weapon","Female Only","15","15.0","10.0","66.7","2.1","4.5","2025","2026","harvest_2025.csv"
"EA1149","Elk","","","","","8","7.0","0.0","17.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1149","Elk","Minnie Maud Ridge","CWMU Antlerless","Any Legal Weapon","Female Only","14","14.0","4.0","28.6","3.1","3.4","2025","2026","harvest_2025.csv"
"EA1151","Elk","Moon Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","6","6.0","2.0","33.3","3.0","2.5","2025","2026","harvest_2025.csv"
