reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5073,"Cache, Rich",2,4,,3.0,1,,,,2.7,33.3,,5,1|4|3|2.7|33.3,,"2 PB5073 Cache, Rich 1 4 3 2.7 33.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,1,4,3.0,2.7,33.3,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,number harvest afield hunted rate (%),Pronghorn,PB5032,Cache/Morgan-South Rich/Ogden,2/3/4,3,,3.0,3,,,,6.3,100.0,,5,3|3|3|6.3|100.0,,2/3/4 PB5032 Cache/Morgan-South Rich/Ogden 3 3 3 6.3 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,3,3,3.0,6.3,100.0,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5047,Diamond Mtn/Bonanza,9CD,59,,57.0,57,,,,2.1,100.0,,5,57|59|57|2.1|100.0,,9CD PB5047 Diamond Mtn/Bonanza 57 59 57 2.1 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,57,59,57.0,2.1,100.0,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5033,"Fillmore, Oak Creek South",21,41,,37.0,37,,,,2.0,100.0,,5,37|41|37|2.0|100.0,,"21 PB5033 Fillmore, Oak Creek South 37 41 37 2.0 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,37,41,37.0,2.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5034,Kaiparowits,26,2,,2.0,2,,,,1.0,100.0,,5,2|2|2|1.0|100.0,,26 PB5034 Kaiparowits 2 2 2 1.0 100.0,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,2,2,2.0,1.0,100.0,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5035,"La Sal, Potash/South Cisco",13,22,,22.0,21,,,,1.8,95.5,,5,21|22|22|1.8|95.5,,"13 PB5035 La Sal, Potash/South Cisco 21 22 22 1.8 95.5",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,21,22,22.0,1.8,95.5,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5331,Mt Dutton/Paunsaugunt,24/27,38,,38.0,24,,,,3.7,62.9,,5,24|38|38|3.7|62.9,,24/27 PB5331 Mt Dutton/Paunsaugunt 24 38 38 3.7 62.9,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,24,38,38.0,3.7,62.9,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5037,"Nine Mile, Anthro-Myton Bench",11,89,,87.0,85,,,,1.8,97.5,,5,85|89|87|1.8|97.5,,"11 PB5037 Nine Mile, Anthro-Myton Bench 85 89 87 1.8 97.5",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,85,89,87.0,1.8,97.5,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5038,"Nine Mile, Range Creek",11,11,,11.0,11,,,,1.6,100.0,,5,11|11|11|1.6|100.0,,"11 PB5038 Nine Mile, Range Creek 11 11 11 1.6 100.0",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,11,11,11.0,1.6,100.0,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5039,"North Slope, Summit",8,14,,13.0,12,,,,2.9,92.3,,5,12|14|13|2.9|92.3,,"8 PB5039 North Slope, Summit 12 14 13 2.9 92.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,12,14,13.0,2.9,92.3,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5040,"North Slope, Three Corners/West Daggett",8,37,,37.0,31,,,,2.4,83.3,,5,31|37|37|2.4|83.3,,"8 PB5040 North Slope, Three Corners/West Daggett 31 37 37 2.4 83.3",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,31,37,37.0,2.4,83.3,,,,,,
2024,2025,24_bg_report.pdf,122,Big Game,,Pronghorn,PB5041,"Panguitch Lake/Zion, North",28/29,25,,25.0,23,,,,2.4,91.7,,5,23|25|25|2.4|91.7,,"28/29 PB5041 Panguitch Lake/Zion, North 23 25 25 2.4 91.7",f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,/mnt/data/24_bg_report.pdf,True,True,True,23,25,25.0,2.4,91.7,,,,,,
