reviewed_family,hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
BLACK_BEAR,Panguitch Lake/Zion,BR7112,462,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7112,462,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,43
BLACK_BEAR,Paunsaugunt,BR7113,163,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7113,163,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",3,0,3,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,44
BLACK_BEAR,Boulder/Kaiparowits,BR7114,455,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7114,455,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",13,1,14,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,45
BLACK_BEAR,Fishlake/Thousand Lakes,BR7115,175,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7115,175,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,46
BLACK_BEAR,San Juan,BR7116,710,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7116,710,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,2,24,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,47
BLACK_BEAR,Diamond Mtn/Vernal/Bonanza,BR7117,444,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7117,444,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,48
BLACK_BEAR,Yellowstone,BR7118,613,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7118,613,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,49
BLACK_BEAR,Wasatch Mtns Avintaquin/Currant Creek,BR7119,463,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7119,463,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,50
BLACK_BEAR,Wasatch Mtns West-Central,BR7120,448,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7120,448,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",22,1,23,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,51
BLACK_BEAR,Cache/Ogden,BR7121,92,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7121,92,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",4,0,4,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,52
BLACK_BEAR,Chalk Creek/East Canyon/Morgan-South Rich,BR7122,93,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7122,93,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",7,0,7,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,53
BLACK_BEAR,Kamas/North Slope Summit,BR7123,5053,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7123,5053,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,54
BLACK_BEAR,Fillmore Pahvant,BR7124,88,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7124,88,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",2,0,2,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,55
BLACK_BEAR,Monroe,BR7125,629,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7125,629,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",1,0,1,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,56
BLACK_BEAR,Dolores Triangle,BR7126,108,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7126,108,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",6,0,6,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,57
BLACK_BEAR,La Sal Mtns,BR7127,617,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7127,617,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",25,2,27,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,58
BLACK_BEAR,Beaver,BR7200,628,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7200,628,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,59
BLACK_BEAR,Book Cliffs Bitter Creek/South,BR7201,449,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7201,449,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,60
BLACK_BEAR,Manti North,BR7203,52,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,BR7203,52,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Fall,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,FULL_SPLIT,2026 BLACK BEAR DRAW.xlsx,61
