hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_row_number
Little Red Creek CWMU,EA1147,484,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1147,484,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,15,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,79
Minnie Maud Ridge CWMU,EA1149,551,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1149,551,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,15,0,15,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,80
Moon Ranch CWMU,EA1151,485,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1151,485,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,6,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,81
Old Woman Plateau CWMU,EA1153,535,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1153,535,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,4,0,4,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,82
Preston Nutter Ranch CWMU,EA1156,542,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1156,542,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,21,0,21,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,83
Redd Ranches CWMU,EA1157,548,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1157,548,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,35,0,35,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,84
Cactus Ranch LLC CWMU,EA1158,517,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1158,517,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,7,0,7,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,85
Roan Cliffs CWMU,EA1159,543,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1159,543,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,6,0,6,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,86
Sand Creek CWMU,EA1160,740,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1160,740,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,5,0,5,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,87
Scofield Canyons CWMU,EA1161,539,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,EA1161,539,Antlerless,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,9,0,9,FULL_SPLIT,2026 ELK ANTLERLESS DRAW.xlsx,88
