hunt_code,hunt_name,raw_hunt_name,reported_draw_year,model_target_year,source_file,source_sha256,page_number,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,source_classification
BR7015,Diamond Mtn/vernal/bonanza,Diamond Mtn/vernal/bonanza - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,25,46,4,3,7,0,0,0,0,7,TRUE_BEAR_BONUS_DRAW
BR7016,"Wasatch Mtns, West-central","Wasatch Mtns, West-central - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,26,228,18,18,36,17,2,2,4,40,TRUE_BEAR_BONUS_DRAW
BR7017,Cache/ogden,Cache/ogden - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,27,55,1,1,2,0,0,0,0,2,TRUE_BEAR_BONUS_DRAW
BR7018,"Kamas/north Slope, Summit","Kamas/north Slope, Summit - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,28,35,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7020,Monroe,Monroe - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,29,9,0,1,1,0,0,0,0,1,TRUE_BEAR_BONUS_DRAW
BR7100,Beaver,Beaver -Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,30,203,5,4,9,13,0,1,1,10,TRUE_BEAR_BONUS_DRAW
BR7101,"Book Cliffs, Bitter Creek/south","Book Cliffs, Bitter Creek/south - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,31,142,7,7,14,5,0,1,1,15,TRUE_BEAR_BONUS_DRAW
BR7102,"Book Cliffs, Little Creek Roadless","Book Cliffs, Little Creek Roadless - Any Legal Weapon",2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,32,28,3,2,5,0,0,0,0,5,TRUE_BEAR_BONUS_DRAW
BR7104,Manti North,Manti North - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,33,269,9,8,17,9,0,1,1,18,TRUE_BEAR_BONUS_DRAW
BR7105,Manti South/san Rafael North,Manti South/san Rafael North - Any Legal Weapon,2025,2026,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,d123fe89987f373c246e1d5879f1c5e80f925909b25909c47ab64f29c3ae2797,34,292,9,9,18,15,1,1,2,20,TRUE_BEAR_BONUS_DRAW
