record_no,reported_hunt_year,model_target_year,source_class,species,sheep_type,hunt_code,selected_hunt_code,possible_hunt_codes,matched_hunt_name,matched_species,matched_unit_name,unit_crosswalk_status,unit_crosswalk_confidence,unit_crosswalk_method,unit_crosswalk_notes,database_match_status,location_of_kill,days_hunted,wound,hunter_satisfaction,horn_length_left_raw,horn_length_left_decimal,horn_length_right_raw,horn_length_right_decimal,base_circumference_left_raw,base_circumference_left_decimal,base_circumference_right_raw,base_circumference_right_decimal,age_of_sheep_raw,age_of_sheep_decimal,source_file,source_file_sha256,source_page,source_row_id,extraction_method,data_quality_flags,recommended_use
64,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6611,DS6611 Zion,Desert Bighorn Sheep,Zion,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Barracks/Yellow Jacket,1,,5,30.5,30.5,29.5,29.5,15,15.0,14.625,14.625,6,6.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,64,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
65,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6611,DS6611 Zion,Desert Bighorn Sheep,Zion,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,cedar pockets,1,,4,32.75,32.75,33.25,33.25,16.25,16.25,16.25,16.25,9.5,9.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,65,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
66,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6611,DS6611 Zion,Desert Bighorn Sheep,Zion,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Cedar Pocket Wash,6,,5,22.75,22.75,22.5,22.5,12.75,12.75,12.75,12.75,5,5.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,66,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
67,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6611,DS6611 Zion,Desert Bighorn Sheep,Zion,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Pahcoon,1,,5,30,30.0,32,32.0,14.75,14.75,14.5,14.5,5,5.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,67,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
68,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,North horse canyon,1,,5,30,30.0,33,33.0,15,15.0,15,15.0,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,68,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
69,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6611,DS6611 Zion,Desert Bighorn Sheep,Zion,POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Zion-area location text; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Pahcoon Flat Hills,2,,5,28.5,28.5,30.5,30.5,13.5,13.5,13.5,13.5,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,69,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
70,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Horse canyon,6,,5,35,35.0,29.5,29.5,14.5,14.5,14.25,14.25,10,10.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,70,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
71,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,HORSE CANYON,6,,5,29 1/8,29.125,28,28.0,16 1/8,16.125,15 1/8,15.125,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,71,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
72,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Dark Cyn.,8,,5,32.125,32.125,32.5,32.5,14.625,14.625,14.875,14.875,9.5,9.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,72,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
73,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Dark Canyon,14,,5,23.5,23.5,26.5,26.5,14,14.0,13.5,13.5,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,73,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
74,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Dark Cyn.,17,,5,29,29.0,29.875,29.875,12.625,12.625,13.25,13.25,5.5,5.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,74,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
75,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,DS6623,DS6623,"DS6623 San Juan, San Juan River",Desert Bighorn Sheep,"San Juan, San Juan River",MATCHED,HIGH,normalized_location_keyword,Distinctive San Juan River desert bighorn hunt name/location.,NO_HUNT_CODE_IN_SOURCE,Muley Pt. - San Juan River,1,,5,28.75,28.75,27.5,27.5,14,14.0,13.875,13.875,6,6.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,75,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_MATCHED,bighorn measurement history only; do not use as quota or p_draw input
76,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Granit wash,5,,5,30 6/8,30.75,31 4/8,31.5,14,14.0,14,14.0,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,76,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
77,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,bookcliffs rattlesnake,8,,5,31 1/8,31.125,34 5/8,34.625,16 1/8,16.125,15 7/8,15.875,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,77,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
78,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Rock Canyon,6,,4,33.75,33.75,33.25,33.25,14.875,14.875,15.125,15.125,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,78,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
79,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Near Butler Canyon,3,,5,31,31.0,33.25,33.25,14.75,14.75,15,15.0,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,79,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
80,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,Trail Cyn,1,,5,26,26.0,26,26.0,12 4/8,12.5,12 5/8,12.625,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,80,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
81,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Big Pass,3,,5,26,26.0,25 6/8,25.75,12 7/8,12.875,12 7/8,12.875,7,7.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,81,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
82,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Devils twist,5,,2,24.5,24.5,28,28.0,13.25,13.25,13.25,13.25,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,82,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
83,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6720|RS6726|RS6727,"RS6720 Fillmore, Oak Creek; RS6726 Fillmore, Oak Creek; RS6727 Fillmore, Oak Creek",Rocky Mountain Bighorn Sheep,"Fillmore, Oak Creek",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Fillmore Oak Creek unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Oak Creek Canyon/ Little Creek,1,,5,28.75,28.75,28.75,28.75,13.25,13.25,13.25,13.25,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,83,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
84,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,Woodside,19,1.0,5,25.375,25.375,27,27.0,15,15.0,15.25,15.25,6,6.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,84,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
85,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,North end by freeway,5,,5,29,29.0,29,29.0,13,13.0,12.75,12.75,5.5,5.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,85,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
86,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Butler Canyon off Hastings Road,2,,5,31.5,31.5,31.5,31.5,15,15.0,15,15.0,6.5,6.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,86,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
87,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Tusher Canyon,7,,5,32 2/8,32.25,31 1/8,31.125,16 1/8,16.125,16 2/8,16.25,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,87,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
88,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Rattlesnake Canyon,5,,5,35.75,35.75,37.875,37.875,15.5,15.5,15.625,15.625,10,10.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,88,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
89,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,DS6601|DS6602|DS6603,"DS6601 Kaiparowits, East; DS6602 Kaiparowits, Escalante; DS6603 Kaiparowits, West",Desert Bighorn Sheep,"Kaiparowits, East; Kaiparowits, Escalante; Kaiparowits, West",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Kaiparowits/Paria/Escalante area has multiple coded hunts.,NO_HUNT_CODE_IN_SOURCE,horse canyon,8,,5,27,27.0,25.5,25.5,15,15.0,15,15.0,3,3.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,89,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
90,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6701,"RS6701 Book Cliffs, South",Rocky Mountain Bighorn Sheep,"Book Cliffs, South",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,Book Cliffs South area/location; review before selected-code promotion.,NO_HUNT_CODE_IN_SOURCE,Rattlesnake,18,,5,35.25,35.25,33.25,33.25,14.875,14.875,15,15.0,9,9.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,2,90,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
91,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Desert Peak,2,,5,29.875,29.875,28.5,28.5,14.125,14.125,14,14.0,7.5,7.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,3,91,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
92,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,First big canyon on northwest side,4,,5,27,27.0,29.25,29.25,14,14.0,14,14.0,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,3,92,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
93,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,,,,,UNMATCHED,LOW,no_authoritative_name_match,Location text did not defensibly match a coded 2023 bighorn hunt name/unit.,NO_HUNT_CODE_IN_SOURCE,1 mile north of military fence,3,,4,25,25.0,24.5,24.5,13.5,13.5,13.5,13.5,3,3.0,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,3,93,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_UNMATCHED,bighorn measurement history only; do not use as quota or p_draw input
94,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Miners Basin,1,,5,29 3/4,29.75,25 3/4,25.75,13 1/2,13.5,13 1/4,13.25,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,3,94,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
95,2023,2024,harvest_measurements,Bighorn Sheep,BIGHORN_SHEEP_UNSPECIFIED,,,RS6703|RS6704|RS6722,"RS6703 Box Elder, Newfoundland Mtn; RS6704 Box Elder, Newfoundland Mtn; RS6722 Box Elder, Newfoundland Mtn",Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn",POSSIBLE_MATCH,MEDIUM,normalized_location_keyword,"Newfoundland Mountain unit has multiple coded hunts, including archery.",NO_HUNT_CODE_IN_SOURCE,Desert peak and Big Pass,2,,5,29,29.0,27.75,27.75,14,14.0,14.25,14.25,8.5,8.5,61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf,09db24334e9a2aeeb67b4f41a4d0afb4a9106b504da6f974a28219d845357bfc,3,95,pdfplumber_table,NO_HUNT_CODE_IN_SOURCE|INDIVIDUAL_MEASUREMENT_RECORD|LOCATION_CROSSWALK_POSSIBLE_MATCH,bighorn measurement history only; do not use as quota or p_draw input
