hunt_code,reported_hunt_year,model_target_year,species,hunt_name,harvest_2021_sum,harvest_success_percent_2021_mean,harvest_average_days_2021_mean,harvest_hunters_afield_2021_sum,harvest_permits_2021_sum,source_row_count_2021,harvest_source_files_2021,harvest_quality_flags_2021
BR7213,2021,2022,Black Bear,Panguitch Lake/Zion,4.0,50.0,4.0,1.0,8,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7214,2021,2022,Black Bear,Paunsaugunt,3.0,100.0,3.0,2.0,3,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7215,2021,2022,Black Bear,"Plateau, Boulder/Kaiparowits",3.0,30.0,3.0,2.0,10,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7216,2021,2022,Black Bear,"Plateau, Fishlake/Thousand Lakes",3.0,75.0,3.0,1.0,4,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7217,2021,2022,Black Bear,San Juan,2.0,33.0,2.0,2.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7218,2021,2022,Black Bear,"South Slope, Bonanza/Diamond Mtn/Vernal",5.0,71.0,5.0,3.0,7,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7219,2021,2022,Black Bear,"South Slope, Yellowstone",1.0,25.0,1.0,0.0,4,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7220,2021,2022,Black Bear,"Wasatch Mtns, Avintaquin/Currant Creek",5.0,56.0,5.0,4.0,9,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7221,2021,2022,Black Bear,"Wasatch Mtns, West-Central",5.0,63.0,5.0,3.0,8,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7224,2021,2022,Black Bear,"Book Cliffs, Little Creek Roadless",3.0,33.0,3.0,1.0,9,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7225,2021,2022,Black Bear,"Book Cliffs, Little Creek Roadless",2.0,20.0,2.0,2.0,10,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7226,2021,2022,Black Bear,La Sal,8.0,11.0,8.0,5.0,75,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7227,2021,2022,Black Bear,San Juan,1.0,1.0,1.0,0.0,75,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7228,2021,2022,Black Bear,Cache/Ogden,0.0,0.0,0.0,0.0,1,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7229,2021,2022,Black Bear,"Kamas/North Slope, Summit",1.0,17.0,1.0,1.0,6,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7230,2021,2022,Black Bear,Cache/Ogden,0.0,0.0,0.0,0.0,5,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7231,2021,2022,Black Bear,"Central Mtns, Manti-North",0.0,0.0,0.0,0.0,23,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7232,2021,2022,Black Bear,"Central Mtns, Manti-South/San Rafael, North",1.0,4.0,1.0,1.0,23,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7233,2021,2022,Black Bear,"Central Mtns, Nebo",2.0,10.0,2.0,1.0,21,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7234,2021,2022,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,0.0,0.0,0.0,0.0,5,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7235,2021,2022,Black Bear,"Kamas/North Slope, Summit",0.0,0.0,0.0,0.0,5,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7236,2021,2022,Black Bear,"Plateau, Boulder/Kaiparowits",0.0,0.0,0.0,0.0,50,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7300,2021,2022,Black Bear,"Book Cliffs, Bitter Creek/South",4.0,50.0,4.0,1.0,8,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
BR7301,2021,2022,Black Bear,"Book Cliffs, Little Creek Roadless",1.0,50.0,1.0,0.0,2,1,21_black_bear_report.pdf,QUALITY_FEATURE_FROM_2021_REPORT_FOR_2022_MODEL_TARGET|REVIEW_COMPLEX_TABLE_PARSE_BEFORE_PRODUCTION
