container,member,source_kind,source_priority,raw_rows,normalized_rows,unique_hunt_codes,active_database_codes,reported_hunt_years,header_count
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,bison_statewide_1950_2024.csv,zip_species_or_supplement,45,75,0,0,0,,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,bison_oial_hunt_harvest_2024.csv,zip_species_or_supplement,45,17,17,17,15,2024,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_results_2024_for_2025_extra_goat_bison_desert_sheep_long.csv,zip_species_or_supplement,45,676,56,56,51,2024,47
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_results_2024_for_2025_all_long_enhanced_v2.csv,zip_long,60,3589,2823,1041,950,2024,47
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2024_for_2025_extra_oil_supplement.zip,harvest_quality_features_extra_oil_2024_for_2025.csv,zip_quality,75,32,0,0,0,,18
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_all_long.csv,zip_long,60,1120,1120,1120,1090,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_hunt_code_keyed.csv,zip_keyed,80,1120,1120,1120,1090,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_quality_features_by_hunt_code_2025_for_2026.csv,zip_quality,75,1120,1120,1120,1090,2025,26
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_BISON_hunt_success.csv,zip_species_or_supplement,45,18,18,18,17,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_DEER_hunt_success.csv,zip_species_or_supplement,45,418,418,418,411,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_DESERT_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,25,25,25,25,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_ELK_hunt_success.csv,zip_species_or_supplement,45,455,455,455,451,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_MOOSE_hunt_success.csv,zip_species_or_supplement,45,44,44,44,31,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_MOUNTAIN_GOAT_hunt_success.csv,zip_species_or_supplement,45,18,18,18,18,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_PRONGHORN_hunt_success.csv,zip_species_or_supplement,45,121,121,121,116,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2025_for_2026_database.zip,harvest_results_2025_for_2026_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,zip_species_or_supplement,45,21,21,21,21,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_harvest_results_2023_24_for_2025_all_long.csv,zip_long,60,155,7,7,7,2024,31
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_hunt_code_keyed_2024_for_2025.csv,zip_keyed,80,7,7,7,7,2024,31
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2023_24_for_2025_database.zip,turkey_quality_features_2023_24_for_2025.csv,zip_quality,75,155,7,7,7,2024,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_harvest_results_2024_25_for_2026_all_long.csv,zip_long,60,157,7,7,7,2025,37
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_hunt_code_keyed_2025_for_2026.csv,zip_keyed,80,7,7,7,7,2025,20
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_fall_management_2024_by_region_area.csv,zip_species_or_supplement,45,16,0,0,0,,30
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_fall_management_statewide_history_2014_2024.csv,zip_species_or_supplement,45,11,0,0,0,,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_spring_limited_entry_cwmu_2025_by_hunt.csv,zip_species_or_supplement,45,7,7,7,7,2025,25
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_limited_entry_cwmu_statewide_history_1991_2025.csv,zip_species_or_supplement,45,35,0,0,0,,22
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_youth_general_season_2025_by_region_county.csv,zip_species_or_supplement,45,36,0,0,0,,27
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_spring_general_season_2025_by_region_county.csv,zip_species_or_supplement,45,36,0,0,0,,27
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_general_season_statewide_history_2010_2025.csv,zip_species_or_supplement,45,16,0,0,0,,21
data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\turkey_harvest_results_2024_25_for_2026_database.zip,turkey_quality_features_2024_25_for_2026.csv,zip_quality,75,98,0,0,0,,20
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_quality_features_by_hunt_code_2021_for_2022.csv,zip_quality,75,974,974,974,802,2021,13
pipeline\RAW\hunt_unit_database\2022\harvest_results_2021_for_2022_database.zip,harvest_results_2021_for_2022_all_long.csv,zip_long,60,1047,1012,974,802,2021,28
