"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"EB3529","Circle E Ranch CWMU","Elk","Any Legal Weapon","CWMU","Circle E Ranch","549","exact_norm_name"
"EB3530","Jacob's Creek CWMU","Elk","Any Legal Weapon","CWMU","Jacob's Creek","580","exact_norm_name"
"EB3532","Jump Creek CWMU","Elk","Any Legal Weapon","CWMU","Jump Creek","734","exact_norm_name"
"EB3533","Junction Valley CWMU","Elk","Any Legal Weapon","CWMU","Junction Valley","589","exact_norm_name"
"EB3534","Little Red Creek CWMU","Elk","Any Legal Weapon","CWMU","Little Red Creek","484","exact_norm_name"
"EB3536","Minnie Maud Ridge CWMU","Elk","Any Legal Weapon","CWMU","Minnie Maud Ridge","551","exact_norm_name"
"EB3538","Moon Ranch CWMU","Elk","Any Legal Weapon","CWMU","Moon Ranch","485","exact_norm_name"
"EB3540","Old Woman Plateau CWMU","Elk","Any Legal Weapon","CWMU","Old Woman Plateau","535","exact_norm_name"
"EB3541","Patmos Ridge CWMU","Elk","Any Legal Weapon","CWMU","Patmos Ridge","736","exact_norm_name"
"EB3543","Preston Nutter Ranch CWMU","Elk","Any Legal Weapon","CWMU","Preston Nutter Ranch","542","exact_norm_name"
"EB3544","Redd Ranches CWMU","Elk","Any Legal Weapon","CWMU","Redd Ranches","548","exact_norm_name"
"EB3546","Roan Cliffs CWMU","Elk","Any Legal Weapon","CWMU","Roan Cliffs","543","exact_norm_name"
"EB3547","Sand Creek CWMU","Elk","Any Legal Weapon","CWMU","Sand Creek","740","exact_norm_name"
"EB3548","Scofield Canyons CWMU","Elk","Any Legal Weapon","CWMU","Scofield Canyons","539","exact_norm_name"
"EB3549","Scofield East CWMU","Elk","Any Legal Weapon","CWMU","Scofield East","540","exact_norm_name"
"EB3550","Scofield West CWMU","Elk","Any Legal Weapon","CWMU","Scofield West","541","exact_norm_name"
"EB3551","SJ Ranch CWMU","Elk","Any Legal Weapon","CWMU","SJ Ranch","576","exact_norm_name"
