hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
BR7315,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Wasatch Mtns Avintaquin/Currant Creek,3,0,3
BR7316,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Wasatch Mtns West-Central,14,1,15
BR7317,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Nine Mile,9,1,10
BR7318,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Beaver,1,0,1
BR7320,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Cache/Ogden,4,0,4
BR7321,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Kamas/North Slope Summit,5,0,5
BR7322,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Mt Dutton,1,0,1
BR7323,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Paunsaugunt,1,0,1
BR7324,False,True,True,False,not_OIL_LE_PLE,Conservation,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,,,
BR7325,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,1,0,1
BR7326,True,True,True,True,included_forecast,Limited Entry - Multiseason,Black Bear,La Sal Mtns,13,1,14
CG1029,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG1034,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7502,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7503,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7506,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7602,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7603,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7605,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7610,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG7612,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
CG9999,False,True,True,False,not_OIL_LE_PLE,Statewide,Cougar,Cougar - Statewide,,,
DA1000,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DA1001,True,True,True,False,included_forecast,General Season,Deer,"Box Elder, West Bear River",,,30
DA1002,True,True,True,False,included_forecast,General Season,Deer,"Box Elder, West Bear River",,,30
DA1003,True,True,True,False,included_forecast,General Season,Deer,"Monroe/Plateau, Sevier Valley",,,15
