hunt_code,hunt_name,species,boundary_id,row_origin,database_numeric_protected,target_database_status,target_2025_total,database_2025_total,target_2026_total,database_2026_total,database_allotment_2026_total,resolved_2026_res,resolved_2026_nr,resolved_2026_total,resolved_2026_source,overlay_action,review_priority,review_reason
DB1264,Mountain Meadow CWMU,Deer,518,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1265,Mountain Top CWMU,Deer,572,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1266,Mt Carmel CWMU,Deer,533,TARGET_AND_DATABASE,YES,MISMATCH,3,3,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1269,North Promontory CWMU,Deer,513,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1270,Nucor West CWMU,Deer,503,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1271,Oak Ranch CWMU,Deer,534,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1272,Old Woman Plateau CWMU,Deer,535,TARGET_AND_DATABASE,YES,MISMATCH,3,3,0,3,,3,0,3,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1273,Park Valley Hereford CWMU,Deer,504,TARGET_AND_DATABASE,YES,MISMATCH,6,6,0,6,,6,0,6,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1274,Patmos Ridge CWMU,Deer,736,TARGET_AND_DATABASE,YES,MISMATCH,1,1,0,1,,1,0,1,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
DB1275,Pine Canyon CWMU,Deer,592,TARGET_AND_DATABASE,YES,MISMATCH,2,2,0,2,,2,0,2,DATABASE.permits_2026,USE_DATABASE_2026_PERMITS_IN_DERIVED_OUTPUTS,HIGH,DATABASE.csv has populated 2026 permit cells. Preserve DATABASE values in derived outputs; target disagreement is review evidence only.
