record_id,record_type,library_title,library_species,library_category,library_area,library_condition,library_source_pdf,document_file_status,database_match_status,database_hunt_code,database_hunt_name,database_species,database_hunt_type,database_season,database_permits_2026_res,database_permits_2026_nr,database_permits_2026_total,database_permits_2026_source,database_permit_allotment_2026_status,reconciliation_issue
permit_2022_2024_conservation_0028,permit_allocation,2022-2024 Mule Deer Foundation Buck Deer - Statewide,Buck Deer,Conservation Permits,Statewide,Statewide,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,DB0007,Buck Deer - Statewide Permit,Deer,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,1,,,Best fuzzy match score 0.17; tied/weak candidates require review.
permit_2022_2024_conservation_0029,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - West Desert, Vernon",Buck Deer,Conservation Permits,"West Desert, Vernon",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,DB1024,"West Desert, Vernon",Deer,Limited Entry,Oct 17 2026 - Oct 25 2026,130,14,144,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0030,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - West Desert, Vernon",Buck Deer,Conservation Permits,"West Desert, Vernon",Archery,2022-24_conservation_permits.pdf,,MATCH_HIGH,DB1016,"West Desert, Vernon",Deer,Limited Entry,Aug 15 2026 - Sept 11 2026,46,5,51,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0031,permit_allocation,"2022-2024 Mule Deer Foundation Buck Deer - West Desert, Vernon",Buck Deer,Conservation Permits,"West Desert, Vernon",Muzzleloader,2022-24_conservation_permits.pdf,,MATCH_HIGH,DB1042,"West Desert, Vernon",Deer,Limited Entry,Sept 23 2026 - Oct 01 2026,46,5,51,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0032,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Beaver,Buck Pronghorn,Conservation Permits,Beaver,Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5025,Beaver - Private Land Only,Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.75; tied/weak candidates require review.
permit_2022_2024_conservation_0033,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Book Cliffs, Bitter Creek",Buck Pronghorn,Conservation Permits,"Book Cliffs, Bitter Creek",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5026,"Book Cliffs, Bitter Creek",Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,50,6,56,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0034,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Box Elder, Snowville",Buck Pronghorn,Conservation Permits,"Box Elder, Snowville",Any Weapon,2022-24_conservation_permits.pdf,,MATCH_HIGH,PB5030,"Box Elder, Snowville",Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,28,3,31,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,
permit_2022_2024_conservation_0035,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Box Elder, West",Buck Pronghorn,Conservation Permits,"Box Elder, West",Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5031,"Box Elder, West - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.83; tied/weak candidates require review.
permit_2022_2024_conservation_0036,permit_allocation,2022-2024 Mule Deer Foundation Buck Pronghorn - Cache/Morgan-South Rich/Ogden,Buck Pronghorn,Conservation Permits,Cache/Morgan-South Rich/Ogden,Any Weapon,2022-24_conservation_permits.pdf,,MATCH_REVIEW,PB5073,"Cache, Rich",Pronghorn,Limited Entry,Sept 12 2026 - Sept 20 2026,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,RAC_CURRENT_YEAR_SPLIT,Fuzzy match score 0.50; owner review required.
permit_2022_2024_conservation_0037,permit_allocation,"2022-2024 Mule Deer Foundation Buck Pronghorn - Fillmore, Oak Creek South",Buck Pronghorn,Conservation Permits,"Fillmore, Oak Creek South",Any Weapon,2022-24_conservation_permits.pdf,,AMBIGUOUS_DATABASE_MATCH,LP5033,"Fillmore, Oak Creek South - Private Land Only",Pronghorn,Limited Entry - Private Land Only,Sept 13 2025 - Sept 21 2025 - Private Land Only,,,,,,Best fuzzy match score 0.86; tied/weak candidates require review.
