hunt_code,hunt_name,species,hunt_type,weapon,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_source_file
BR7224,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Spring,Any Legal Weapon,"March 28 - May 25, 2026",14,1,15,
BR7225,Book Cliffs Little Creek Roadless,Black Bear,Spot and Stalk,Any Legal Weapon,"Sept. 1 - Nov. 8, 2026",5,0,5,
BR7228,Cache/Ogden,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7229,Kamas/North Slope Summit,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,
BR7237,Monroe,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7238,Dolores Triangle,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,
BR7239,La Sal Mtns,Black Bear,Limited Entry - Fall,Any Legal Weapon,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,
BR7300,Book Cliffs Bitter Creek/South,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,
BR7301,Book Cliffs Little Creek Roadless,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,
BR7303,Manti North,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,
BR7304,Manti South/San Rafael North,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,
BR7305,Nebo,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,
BR7307,La Sal,Black Bear,Multiseason - Conservation,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,
BR7308,North Slope Three Corners/West Daggett,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,
BR7309,Panguitch Lake/Zion,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,
BR7310,Boulder/Kaiparowits,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,
BR7311,Fishlake/Thousand Lakes,Black Bear,Limited Entry - Multiseason,Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",3,0,3,
