hunt_code,hunt_name,species,reported_hunt_years,classification,active_2026_database,row_count
DB1622,Oquirrh/Tintic,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1623,Cedar/Stansbury,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1624,Cedar/Stansbury,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1625,Cedar/Stansbury,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1627,Cache,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1628,Cache,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1629,Boulder/Kaiparowits,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1630,Boulder/Kaiparowits,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1631,Box Elder,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1769,Beaver,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1770,Box Elder,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1771,Cache,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1772,Manti/San Rafael,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1773,Nebo,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1774,Chalk Creek/East Canyon/Morgan-South Rich,Deer,2021|2023|2024|2025,HARVEST_ONLY_CODE,NO,4
DB1775,Fillmore,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1777,Kamas,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1778,La Sal Mtns,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1779,Monroe,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1780,Mt Dutton,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1781,Nine Mile,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1782,North Slope,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1783,Ogden,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1784,Oquirrh-Stansbury,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1785,Panguitch Lake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1786,Pine Valley,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1787,Boulder/Kaiparowits,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1788,Fishlake,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1789,Thousand Lakes,Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1790,"San Juan, Abajo Mtns",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1791,Vernal/Bonanza,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1792,Yellowstone,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1793,Southwest Desert,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1794,"Wasatch Mtns, East",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1795,"Wasatch Mtns, West",Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1796,"West Desert, Tintic",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1797,"West Desert, West",Mule Deer,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
DB1798,Zion,Deer,2021|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
DB1799,Chalk Creek,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1800,East Canyon,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1801,Morgan-South Rich,Deer,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
DB1802,"Beaver, East",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1803,"Beaver, West",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1804,Cedar/Stansbury,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1805,Oquirrh/Tintic,Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DB1806,"West Desert, Swasey",Deer,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,2022|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DS1001,Henry Mtns (conservation),Desert Bighorn Sheep,2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,3
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,2022|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DS1003,"Kaiparowits, Escalante",Desert Bighorn Sheep,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,2022|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,3
DS1005,"San Rafael, North (conservation)",Desert Bighorn Sheep,2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,3
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DS1007,"San Rafael, South",Desert Bighorn Sheep,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
DS6600,Henry Mtns,Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6601,"Kaiparowits, East",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6602,"Kaiparowits, Escalante",Desert Bighorn Sheep,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
DS6603,"Kaiparowits, West",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6604,"La Sal, Potash/South Cisco",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6605,Pine Valley,Desert Bighorn Sheep,2025,SPECIAL_PERMIT_OVERLAY,YES,1
DS6606,"San Juan, Lockhart",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6607,"San Juan, South",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6608,"San Rafael, Dirty Devil",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6609,"San Rafael, North",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6610,"San Rafael, South",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6611,Zion,Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6612,Zion,Desert Bighorn Sheep,2021,HARVEST_ONLY_CODE,NO,1
DS6613,Zion (conservation),Desert Bighorn Sheep,2021,SPECIAL_PERMIT_OVERLAY,NO,1
DS6615,,Desert Bighorn Sheep,2021,HARVEST_ONLY_CODE,NO,1
DS6616,"Kaiparowits, East/Escalante/West (conservation)",Desert Bighorn Sheep,2021,SPECIAL_PERMIT_OVERLAY,NO,1
DS6617,"San Rafael, North/South (conservation)",Desert Bighorn Sheep,2021,SPECIAL_PERMIT_OVERLAY,NO,1
DS6620,"Pine Valley, Virgin River",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6621,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6622,"San Juan, North",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6623,"San Juan, San Juan River",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6624,"San Rafael, Dirty Devil",Desert Bighorn Sheep,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
DS6625,Mineral Mtns,Desert Bighorn Sheep,2024|2025,ACTIVE_2026_DATABASE_CODE,YES,2
DS6626,"Escalante, East",Desert Bighorn Sheep,2025,ACTIVE_2026_DATABASE_CODE,YES,1
DS6627,"Escalante, West",Desert Bighorn Sheep,2025,ACTIVE_2026_DATABASE_CODE,YES,1
EA1004,"Book Cliffs, Little Creek Roadless",Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1007,"Box Elder, Grouse Creek",Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1008,"Box Elder, Grouse Creek",Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1009,"Cache, East",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1010,"Cache, Rich",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1011,"Cache, Richards Hollow",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1012,"Cache, Richmond Hyde Park",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1013,"Manti, Central",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1015,"Manti, Ferron Canyon",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1017,"Manti, Gordon Creek-Price Canyon",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1018,"Manti, Horn Mtn",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1020,"Manti, Mohrland-Stump Flat",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1021,Nebo,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1022,"Manti, North",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1023,"Manti, South",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1024,"Manti, South",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1025,"Manti, West",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1026,Chalk Creek,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1030,"Fillmore, Pahvant",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1031,"Fillmore, Pahvant",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1033,Kamas,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1034,"Kamas, Francis",Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1035,"Kamas, Oakley",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1037,Dolores Triangle,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1038,La Sal Mtns,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1039,La Sal Mtns,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1040,"Monroe, Koosharem Valley",Antlerless Elk,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
EA1044,"Morgan-South Rich, South Rich",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1049,"Mt Dutton, Deep Creek",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1052,"Nine Mile, Avintaquin-West Anthro",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1054,"Nine Mile, West Anthro",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1055,"North Slope, Greendale",Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1056,"North Slope, Greendale",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1058,"North Slope, Henry's Fork-Burnt Fork",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1060,"North Slope, West Daggett",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1061,"North Slope, West Daggett",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1063,Ogden,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1064,Ogden,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1066,Panguitch Lake,Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1067,Panguitch Lake,Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1068,Panguitch Lake,Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1069,Panguitch Lake,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1073,Paunsaugunt,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1074,Pine Valley,Antlerless Elk,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
EA1075,Boulder East,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1076,Boulder West,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1077,Boulder-Circle Cliffs,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1078,Fishlake/Thousand Lakes,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1079,Fishlake/Thousand Lakes East,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1080,Fishlake/Thousand Lakes West,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1081,San Juan,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1082,San Juan,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1084,"San Rafael, North",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1085,Vernal/Bonanza,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1087,Vernal/Bonanza,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1089,Diamond Mtn,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1090,Diamond Mtn,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1091,"South Slope, Diamond Mtn",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1094,"Vernal, Mosby Mtn",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1098,"South Slope, Yellowstone",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1099,"South Slope, Yellowstone",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1100,"South Slope, Yellowstone",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1101,Southwest Desert,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1106,"Wasatch Mtns, Avintaquin",Elk,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
EA1110,"Wasatch Mtns, Salt Lake",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1111,"Wasatch Mtns, Wallsburg",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1112,"Wasatch Mtns, Wallsburg",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1113,"Wasatch Mtns, West Heber",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1114,"Wasatch Mtns, West Timpanogos",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1116,Zion,Antlerless Elk,2021|2022|2023|2024,HARVEST_ONLY_CODE,NO,4
EA1117,Zion,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1118,Alton,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1119,Bar J Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1120,Bear Mountain,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1121,Boobe Hole,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1122,Causey Spring,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1124,Chimney Rock,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1125,Coldwater Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1126,Cotton Thomas,Antlerless Elk,2021|2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,4
EA1129,Deseret,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1130,Double Cone,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1131,Durst Mountain,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1132,East Fork Chalk Creek,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1134,Ensign Ranches,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1135,Folley Ridge,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1136,Grass Valley/Clark Canyon,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1137,Grazing Pasture,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1138,Guildersleeve,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1139,Hardscrabble,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1140,Heaston East,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1141,Hiawatha,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1142,Indian Head,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1143,Circle E Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1144,Jacob's Creek Any Legal Weapon 8,CWMU Antlerless Elk,2023,SPECIAL_PERMIT_OVERLAY,NO,1
EA1145,Johnson Mountain Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1146,Jump Creek,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1147,Little Red Creek,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1149,Minnie Maud Ridge,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1151,Moon Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1153,Old Woman Plateau,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1155,Powder Mountain,CWMU Antlerless Elk,2021|2022|2023,SPECIAL_PERMIT_OVERLAY,NO,3
EA1156,Preston Nutter Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1157,Redd Ranches,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1158,Riverview Ranch LLC,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1159,Roan Cliffs,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1160,Sand Creek,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1161,Scofield Canyons,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1162,Scofield East,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1163,Scofield West,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1164,SJ Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1165,Skull Crack,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1166,Soldier Summit,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1167,South Canyon,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1168,Spring Creek/Dodge,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1170,Strawberry Ridge,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1171,Summit Point,Elk,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
EA1172,Three C,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1174,Two Bear,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1175,Wallsburg,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1176,Weber Florence Creek,Antlerless Elk,2021|2022|2023|2024,SPECIAL_PERMIT_OVERLAY,NO,4
EA1177,Woodruff Creek South,Elk,2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,4
EA1180,La Sal,Elk,2025,SPECIAL_PERMIT_OVERLAY,YES,1
EA1186,Mt Dutton/Plateau,Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1187,"Paunsaugunt, Hatch Bench",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1189,"Wasatch Mtns, West-Central",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1190,"Beaver, North",Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1192,Pahvant Ensign,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1193,"Cache, Rich",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1194,"Cache, Richmond Hyde Park Any Legal Weapon 5 3 0 0.0 5.",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1196,"North Slope, Summit",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1198,Bear Springs,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1200,Double R Ranch,Elk,2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,3
EA1201,Mountain Sky Ranch,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1203,"Box Elder, Pilot Mtn",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1204,"Box Elder, Pilot Mtn",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1205,"Cache, Richmond Hyde Park Any Legal Weapon 5 5 0 0.0",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1206,"Cache, Richmond Hyde Park",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1207,"Nebo, Moroni Hills",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1208,Nebo,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1209,"Fillmore, Oak Creek LE",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1217,"Wasatch Mtns, Avintaquin",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1220,Manti,Elk,2021|2023|2025,SPECIAL_PERMIT_OVERLAY,YES,3
EA1221,Fishlake/Thousand Lakes,Elk,2023|2025,SPECIAL_PERMIT_OVERLAY,YES,2
EA1222,"Beaver, East",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1223,"Beaver, East",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1224,"Book Cliffs, Bitter Creek/South",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1225,"Book Cliffs, Bitter Creek/South",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1226,"Nebo, Moroni Hills",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1227,"Fillmore, Kanosh Valley",Antlerless Elk,2021|2022|2023,HARVEST_ONLY_CODE,NO,3
EA1228,Morgan-South Rich,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1229,Morgan-South Rich,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1231,"West Desert, Tintic Valley",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1232,"Central Mtns, Nebo",Antlerless Elk,2021,HARVEST_ONLY_CODE,NO,1
EA1233,Avintaquin Canyon,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1234,Royal Ivory Outfitters,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1235,Sharp Mountain,Elk,2021|2022|2023|2024|2025,SPECIAL_PERMIT_OVERLAY,YES,5
EA1236,East Canyon,Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1237,"La Sal Mtns, North",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1238,"Monroe, Rock Springs",Antlerless Elk,2021|2022,HARVEST_ONLY_CODE,NO,2
EA1239,"Nine Mile, Range Creek",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
EA1240,"Nine Mile, Range Creek",Elk,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
