hunt_code,hunt_name,species,historical_year,field_family,res,nr,total,source_field,source_value,lineage_status,canonical_status,paired_family_compare_status,review_reason
PB5080,"Box Elder, Snowville",Pronghorn,2025,permits_2025,1,6,7,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
PB5080,"Box Elder, Snowville",Pronghorn,2025,permits_2025_draw,1,6,7,permits_2025_draw_source,canonical_2026_source_of_truth_draw_results,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
PD1000,"Box Elder, Snowville",Pronghorn,2025,permits_2025,72,8,80,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
PD1000,"Box Elder, Snowville",Pronghorn,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DA1001,"Box Elder, West Bear River",Deer,2025,permits_2025,26,0,26,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DA1001,"Box Elder, West Bear River",Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DA1002,"Box Elder, West Bear River",Deer,2025,permits_2025,30,0,30,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DA1002,"Box Elder, West Bear River",Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DB1078,Cache,Deer,2025,permits_2025,9,1,10,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
DB1078,Cache,Deer,2025,permits_2025_draw,9,1,10,permits_2025_draw_source,canonical_2026_source_of_truth_draw_results,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
DB1502,Cache,Deer,2025,permits_2025,876,42,918,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DB1502,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DB1627,Cache,Deer,2025,permits_2025,2647,58,2705,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DB1627,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DB1628,Cache,Deer,2025,permits_2025,383,16,399,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DB1628,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
DB1771,Cache,Deer,2025,permits_2025,140,1,141,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
DB1771,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
EA1267,Cache,Elk,2025,permits_2025,81,9,90,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,PRIMARY_ONLY,
EA1267,Cache,Elk,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,PRIMARY_ONLY,
EA2027,Cache,Elk,2025,permits_2025,,,,permits_2025_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
EA2027,Cache,Elk,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1502,Cache,Deer,2025,permits_2025,,,,permits_2025_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1502,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1627,Cache,Deer,2025,permits_2025,,,,permits_2025_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1627,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1628,Cache,Deer,2025,permits_2025,,,,permits_2025_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
LO1628,Cache,Deer,2025,permits_2025_draw,,,,permits_2025_draw_source,,BLANK,NO_HISTORICAL_VALUE,BOTH_BLANK,
MB6000,Cache,Moose,2025,permits_2025,12,3,15,permits_2025_source,2025_DRAW_RESULTS_TABLES,SOURCE_PRESENT,CANONICAL_HISTORICAL_SOURCE_TRUTH,MATCH,
