hunt_code,hunt_name,species,weapon,hunt_type,season,permit_family,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,current_rac_res,current_rac_nr,current_rac_total,current_runtime_res,current_runtime_nr,current_runtime_total,delta_rac_res,delta_rac_nr,delta_rac_total,delta_runtime_res,delta_runtime_nr,delta_runtime_total,comparison_status,significant_difference,notes
EA1157,Redd Ranches CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,35,0,35,,,,35,0,35,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1158,Cactus Ranch LLC CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,7,0,7,,,,7,0,7,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1159,Roan Cliffs CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,6,0,6,,,,6,0,6,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1160,Sand Creek CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,5,0,5,,,,5,0,5,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1161,Scofield Canyons CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,9,0,9,,,,9,0,9,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1162,Scofield East CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,14,0,14,,,,14,0,14,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1163,Scofield West CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,19,0,19,,,,19,0,19,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1164,SJ Ranch CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,6,0,6,,,,6,0,6,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1165,Skull Crack CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,15,0,15,,,,15,0,15,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1166,Soldier Summit CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,16,0,16,,,,16,0,16,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1167,South Canyon CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,12,0,12,,,,12,0,12,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1168,Spring Creek/Dodge CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,15,0,15,,,,15,0,15,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1170,Strawberry Ridge CWMU,Elk,Any Legal Weapon,CWMU,Contact operator for 2025 season dates,DATABASE_ONLY_OR_CWMU,10,0,10,,,,10,0,10,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
