reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,antlerless,Antlerless Elk,EA1023,"Central Mtns, South Manti",Antlerless Elk,Any Legal Weapon,10,7,3,5.4,40.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1023 Central Mtns, South Manti Any Legal Weapon 10 7 3 40.0 5.4",
2022,2023,antlerless,Antlerless Elk,EA1024,"Central Mtns, South Manti",Antlerless Elk,Any Legal Weapon,18,17,17,4.2,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1024 Central Mtns, South Manti Any Legal Weapon 18 17 17 100.0 4.2",
2022,2023,antlerless,Antlerless Elk,EA1025,"Central Mtns, West Manti",Antlerless Elk,Any Legal Weapon,70,64,36,6.9,56.5,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1025 Central Mtns, West Manti Any Legal Weapon 70 64 36 56.5 6.9",
2022,2023,antlerless,Antlerless Elk,EA1026,Chalk Creek,Antlerless Elk,Any Legal Weapon,348,285,164,4.9,57.5,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,Antlerless Elk EA1026 Chalk Creek Any Legal Weapon 348 285 164 57.5 4.9,
2022,2023,antlerless,Antlerless Elk,EA1236,East Canyon,Antlerless Elk,Any Legal Weapon,356,320,206,5.1,64.1,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,Antlerless Elk EA1236 East Canyon Any Legal Weapon 356 320 206 64.1 5.1,
2022,2023,antlerless,Antlerless Elk,EA1227,"Fillmore, Kanosh Valley",Antlerless Elk,Any Legal Weapon,10,9,3,7.3,33.3,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1227 Fillmore, Kanosh Valley Any Legal Weapon 10 9 3 33.3 7.3",
2022,2023,antlerless,Antlerless Elk,EA1209,"Fillmore, Oak Creek LE",Antlerless Elk,Any Legal Weapon,49,42,16,7.8,37.5,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1209 Fillmore, Oak Creek LE Any Legal Weapon 49 42 16 37.5 7.8",
2022,2023,antlerless,Antlerless Elk,EA1030,"Fillmore, Pahvant",Antlerless Elk,Any Legal Weapon,50,44,22,5.1,50.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1030 Fillmore, Pahvant Any Legal Weapon 50 44 22 50.0 5.1",
2022,2023,antlerless,Antlerless Elk,EA1031,"Fillmore, Pahvant",Antlerless Elk,Any Legal Weapon,50,48,31,9.1,64.3,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,"Antlerless Elk EA1031 Fillmore, Pahvant Any Legal Weapon 50 48 31 64.3 9.1",
2022,2023,antlerless,Antlerless Elk,EA1033,Kamas,Antlerless Elk,Any Legal Weapon,125,98,43,4.7,44.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,2,parsed,,true,true,true,Antlerless Elk EA1033 Kamas Any Legal Weapon 125 98 43 44.0 4.7,
